title,genres,overview,vote_average,release_date,popularity,keywords,backdrop_path,homepage
The 13th Warrior,"Action, Thriller, Drama","Rose, a rebellious half-vampire/half-human guardian-in-training and her best friend, Lissa -- a mortal, royal vampire Princess - have been on the run when they are captured and returned to St. Vladamirs Academy, the very place where they believe their lives may be in most jeopardy. Rose will sacrifice everything to protect Lissa from those who intend to exploit her from within the Academy walls and the Strigoi (immortal, evil vampires) who hunt her kind from outside its sanctuary.",7.452,06-11-2009,24.28,,/kujUJjGGKNN2d7G5NcCnplZPfGd.jpg,
The Road,"Animation, Action, Adventure, Comedy","Book superstore magnate, Joe Fox and independent book shop owner, Kathleen Kelly fall in love in the anonymity of the Internet—both blissfully unaware that he's trying to put her out of business.",6,23-01-2023,24.272,"friendship, technology, friends, robot, robot dog",/sVa8AA4EpUsSV1Jjj52S8fF77pF.jpg,https://www.amazon.com/dp/B0B8TGGKN1
Vampire Academy,"Adventure, History, Action","William Thatcher, a knight's peasant apprentice, gets a chance at glory when the knight dies suddenly mid-tournament. Posing as a knight himself, William won't stop until he's crowned tournament champion—assuming matters of the heart don't get in the way.",6.657,13-08-1999,24.27,"husband wife relationship, 1970s, surgeon, biography, based on true story, doctor, detroit, michigan, neurosurgeon, surgery, conjoined twins, 1980s, pediatrician, 1960s, mother son relationship, african american, medical",/xlSyZzufbB8Nq058EwAVA9HaMbt.jpg,
You've Got Mail,"Adventure, Drama","Surf's up for Barbie as she returns as Merliah, the fun and fashionable surfing champion who's also a magical mermaid princess! In this exciting sea-quel, Merliah makes a splash when she heads to Australia for the ultimate surfing competition. When the evil mermaid Eris escapes from her whirlpool with plans to take over the throne of Oceana, Merliah and her sea friends dive in to stop her. It's a fresh new adventure where Merliah learns that anything is possible and she really can have the best of both worlds!",6.998,25-11-2009,24.262,"london, england, nightmare, go-go dancer, time travel, nostalgia, fashion designer, murder, soho london, clairvoyant, fashion design, 1960s, mirror, pub",/6188iOmUAitGThYUjyx20fO4LJd.jpg,http://www.theroad-movie.com/
A Knight's Tale,"Comedy, Action, Fantasy",HBO's animated history of Westeros brings to life all the events that shaped the Seven Kingdoms in the thousands of years before Game of Thrones' story begins.,6.344,07-02-2014,24.245,"cia, based on novel or book, nicaragua, sandinism",/noSmzLTPoDPypjp277rdUc5OQcL.jpg,
Barbie in A Mermaid Tale 2,Documentary,The life of a teenage boy is forever altered by a chance encounter with cutting edge military technology.,6.684,12-03-2017,24.232,"king, 15th century, joseon dynasty",/2VFUh8spzyNbRNPyncIrFmSwBrd.jpg,
Game of Thrones - Conquest & Rebellion: An Animated History of the Seven Kingdoms,"Comedy, Romance",Gifted Hands: The Ben Carson Story is a movie based on the life story of world-renowned neurosurgeon Ben Carson from 1961 to 1987.,6.668,17-12-1998,24.226,"based on novel or book, buddhism, xianxia, journey to the west, nezha, monkey king, son wukong",/wdVM1soj2s9ixta8R7NDwoZA12Y.jpg,http://youvegotmail.warnerbros.com
A-X-L,"Adventure, Drama, Romance, Action","A young girl, passionate about fashion design, is mysteriously able to enter the 1960s where she encounters her idol, a dazzling wannabe singer. But 1960s London is not what it seems, and time seems to be falling apart with shady consequences.",6.9,11-05-2001,24.222,"magic, dc comics, vertigo, supernatural, haunted house, dark fantasy, demon hunter, interactive, dc animated movie universe, short film, hellblazer",/gkT737kgnmI6jZyXbUBJRwVbGkW.jpg,
Gifted Hands: The Ben Carson Story,"Animation, Family","In present-day Nicaragua, a headstrong American journalist and a mysterious English businessman strike up a romance as they become embroiled in a dangerous labyrinth of lies and conspiracies and are forced to try and escape the country.",6.991,22-02-2012,24.219,"new york city, dual identity, love of one's life, secret identity, superhero, pizza boy, based on comic, sequel, doctor, scientist, tentacle, death, super villain, young adult",/45r3Vhb30yumJFlGDAtxPMe8YND.jpg,
Last Night in Soho,"Animation, Fantasy, War, TV Movie","The story of Joseon's tyrant king Yeonsan who exploits the populace for his own carnal pleasures, his seemingly loyal retainer who controls him and all court dealings, and a woman who seeks vengeance.",7.795,12-12-2017,24.215,"diving, u.s. navy",/h1bqqvt72zhipUSNNqt5ZetE5is.jpg,
Stars at Noon,"Science Fiction, Action, Adventure, Family","The all-powerful Monkey King once roamed freely between Heaven and Earth, but after angering the Gods, he was imprisoned within an ice cage deep within the mountains. 500 years later, monsters attack a small village and a child flees to the mountains. Unknowingly, the child releases the Monkey King from his curse. With the help and encouragement from this special child, Monkey King saves the village from the evil monsters.",6.306,23-08-2018,24.205,"navy, submarine, heroism, scuba diving, u.s. navy seal, military life, valor, terrorist plot, navy life, national security, pregnant wife, silver star, counter plot, duringcreditsstinger",/l1nYo0yzKjf84atnBDbx0do16vQ.jpg,http://axlmovie.com
The Treacherous,Drama,"John Constantine wakes up in the eerie House of Mystery with no recollection of how he got there. Fortunately, Zatanna and his friends are all there. Unfortunately, they have a bad habit of turning into demons and ripping him to shreds, over and over again!",7.824,07-02-2009,24.201,"musical, based on toy",/xkaeirZBfs9nfz2TJoFHxyOLCcC.jpg,http://www.tnt.tv/movies/giftedhands/
Monkey King: Hero Is Back,"Mystery, Thriller, Horror","Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood. A certain anger begins to brew in his best friend Harry Osborn as well...",7.375,21-10-2021,24.18,"rescue, explosive, loyalty, us army, car bomb, iraq, tension, disaster, terrorism, soldier, iraq war, anti war, bomb squad, body armor, woman director, army sergeant",/nZP1rGsOh3G2HbYfRqO58zg0V4Y.jpg,https://www.focusfeatures.com/last-night-in-soho
Constantine: The House of Mystery,"Drama, Romance, Thriller","Against formidable odds -- and an old-school diving instructor embittered by the U.S. Navy's new, less prejudicial policies -- Carl Brashear sets his sights on becoming the Navy's first African-American master diver in this uplifting true story. Their relationship starts out on the rocks, but fate ultimately conspires to bring the men together into a setting of mutual respect, triumph and honor.",6.042,14-10-2022,24.178,"chauffeur, london, england, prostitute, jealousy, rape, tattoo, hitman, parent child relationship, bratva (russian mafia), gangster, human trafficking, diary, midwife, murder, statutory rape, orphan, brutality, motorcycle, disposing of a dead body, bathhouse, empathy",/tOfJuyfEbUMSSyBK24CAehphKwD.jpg,https://a24films.com/films/stars-at-noon
Spider-Man 2,"Drama, History","When a covert mission to rescue a kidnapped CIA operative uncovers a chilling plot, an elite, highly trained U.S. SEAL team speeds to hotspots around the globe, racing against the clock to stop a deadly terrorist attack.",6.2,21-05-2015,24.178,"peru, museum, fox, based on cartoon, jungle, lost city, quicksand, monkey, lost civilization, live action and animation, teenage protagonist, based on tv series",/sRsWd7iVMXuOpHf2hufCy06oEkX.jpg,
Men of Honor,"Fantasy, Animation, Comedy","Liana and Alexa (Barbie and Teresa) are best friends who share everything, including their love of singing. Upon meeting a girl inside a mirror, the duo embark on a journey that will put their friendship to the ultimate test.",6.901,10-07-2015,24.178,"escape, alone, survival, drone, zombie, apartment building, zombie apocalypse, virus, live stream, south korea, apartment",/6CznkSoIwg2Ev7ldvUFfcyAigfo.jpg,
Act of Valor,"Animation, Action, Adventure, Horror","During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",6.94,02-05-2022,24.175,"sunrise, winter, marriage crisis, vampire, based on comic, alaska, creature, based on graphic novel, blizzard, blood lust, polar night, horror",/vsAlkb3Fv485AmNiSoyjEBcIB7B.jpg,https://www.warnerbros.com/movies/constantine-house-mystery
Barbie and the Diamond Castle,"Action, Adventure, Fantasy","A Russian teenager, living in London, dies during childbirth but leaves clues to a midwife in her journal, that could tie her child to a rape involving a violent Russian mob family.",7.258,25-06-2004,24.172,"author, retrospective, queens, new york city, childhood",/8HMHE8VpkWOTmkm3c9QyEL6h1cP.jpg,https://www.sonypictures.com/movies/spiderman2
The Hurt Locker,Drama,"Dora, a girl who has spent most of her life exploring the jungle with her parents, now must navigate her most dangerous adventure yet: high school. Always the explorer, Dora quickly finds herself leading Boots (her best friend, a monkey), Diego, and a rag tag group of teens on an adventure to save her parents and solve the impossible mystery behind a lost Inca civilization.",7.46,13-09-2000,24.164,"hotel, airplane, airport, miami, florida, hitman, menace, threat of death, flight, fear, political assassination, held captive, captive, surveillance, threat, hotel manager, operative, phone call, turbulence, homeland security, life or death, father daughter relationship, death of a loved one, assassination plot, delayed flight",/laNHiehbOHYM3y9FVFfqmLuX8X5.jpg,
Eastern Promises,"Action, Thriller, War","As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",6.463,24-02-2012,24.159,,/bHefJgSTO3JOZy9fETN6cWpvbMX.jpg,http://www.actofvalor.com/
Dora and the Lost City of Gold,"Animation, Family","This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.",7.364,03-09-2008,24.147,based on comic,/mtZh7DHYcwiE8lQ2XrcaMd78CId.jpg,
#Alive,"Drama, Thriller, War","Dito Montiel, a successful author, receives a call from his long-suffering mother, asking him to return home and visit his ailing father. Dito recalls his childhood growing up in a violent neighborhood in Queens, N.Y., with friends Antonio, Giuseppe, Nerf and Mike.",7.254,10-10-2008,24.144,"underdog, hip-hop, street gang, scholarship, competition, breakdance, insurgence, heart-throb, tap dancing, ballet",/off0xgvtfHY82l3MC4mDpCk1APY.jpg,
30 Days of Night,"Thriller, Crime, Mystery","A woman is kidnapped by a stranger on a routine flight. Threatened by the potential murder of her father, she is pulled into a plot to assist her captor in offing a politician.",7.362,14-09-2007,24.135,"lust, temptation",/n8qBEB8gMTrtm8O0DTTw8xEiUcb.jpg,http://www.focusfeatures.com/easternpromises/
A Guide to Recognizing Your Saints,"Adventure, Comedy, Family, Fantasy","After a near-fatal car accident, Sam wakes to discover he is trapped in an abandoned hospital by mysterious and sinister forces that have no intention of letting him leave…",6.674,08-08-2019,24.131,"sheriff, superstition, trauma, native american, oregon, usa, creature, meth lab, school teacher, mining town, based on short story, wendigo, folk horror, myth",/61sbyO47yIpsMFyLhY1MWcqjg1Q.jpg,https://www.paramount.com/movies/dora-and-lost-city-gold
Red Eye,"Horror, Action, Adventure, Thriller","Superman, Batman, Wonder Woman, Flash, Cyborg, Green Lantern and Vixen are transported to the strange world of Remnant and find themselves turned into teenagers. Meanwhile, Remnant heroes Ruby, Weiss, Blake and Yang must combine forces with the Justice League to uncover why their planet has been mysteriously altered before a superpowered Grimm destroys everything.",7.283,24-06-2020,24.119,"fox, dog",/hWpVSEMWDvG49ezvpksnS5BSnvB.jpg,
Disquiet,"Horror, Thriller","When rebellious street dancer Andie lands at the elite Maryland School of the Arts, she finds herself fighting to fit in while also trying to hold onto her old life. When she joins forces with the schools hottest dancer, Chase, to form a crew of classmate outcasts to compete in Baltimore s underground dance battle The Streets.",6.4,17-10-2007,24.119,"laboratory, car accident, family, consciousness, biologist, synthetic, neuro-scientist, police task force",/w8VDpCcKezdBbXJEWMHwttI35mU.jpg,http://www.30daysofnight.com/
"Justice League x RWBY: Super Heroes & Huntsmen, Part One","Crime, Drama","Thrust into an uncomfortable circumstance, Eve finds herself living under the same roof as Brandon (the man she shared the most intense sexual connection of her life with) and Danny (her current love whom she shares the most intimate emotional connection of her life). Her own curiosity about the man she lusted for long ago, coupled with his desperate attempts at manipulating her back into another affair, leaves Eve straddling the line between right and wrong. Will Eve succumb to Brandon's games? Or will she stay loyal to Danny, the man who continues to be her grounding force in the unpredictable, unstable world Brandon has begun to weave for both of them.",6.493,29-09-2006,24.109,"sea, monster, based on novel or book, poison, hermes, tale, poseidon, fantasy world, demigod, golden fleece, olympus, quest, kronos, based on young adult novel",/tCIucJm74pK8hRGjf9jfH3jNBc4.jpg,
Step Up 2: The Streets,"Thriller, Mystery","A small-town Oregon teacher and her brother, the local sheriff, discover a young student is harbouring a dangerous secret that could have frightening consequences.",6.382,19-08-2005,24.096,"fisherman, singer",/1uRkvEDPvZUIGtGnJz895ajvb7Y.jpg,
The Temptation of Eve,"Thriller, Horror, Mystery","Best friends Tod, a fox kit, and Copper, a hound puppy, visit a country fair when they see a band of dogs called ""The Singin' Strays"". The band has five members: Dixie, Cash, Granny Rose, and twin brothers Waylon and Floyd. It is important that they perform well because a talent scout is visiting.",6.5,10-02-2023,24.092,"afterlife, hell, trial, based on comic, god, grim reaper, myth, goryeo dynasty, based on webcomic or webtoon",/ee7nLU6c9JPzxRIqR5qxDXEo3uh.jpg,
Antlers,"Animation, Action, Fantasy",A scientist becomes obsessed with returning his family to normalcy after a terrible accident.,7.373,25-04-2023,24.088,"comedian, family",/3GLrNvvkVJjBiffV8RsEh9Xg1eS.jpg,https://www.warnerbros.com/movies/justice-league-x-rwby-super-heroes-and-huntsmen-part-one
The Fox and the Hound 2,"Music, Drama, Romance","In their quest to confront the ultimate evil, Percy and his friends battle swarms of mythical creatures to find the mythical Golden Fleece and to stop an ancient evil from rising.",6.684,14-02-2008,24.053,"philadelphia, pennsylvania, parent child relationship, marriage crisis, superhero, train accident, invulnerability, super power",/rNaMcPzxt94e40LJJTTxbjl7xNG.jpg,
Replicas,"Drama, Romance","When a young fisherman with a hidden talent gets discovered by a music producer, he must decide if he's ready to open himself up to stardom — and love.",8.4,19-08-2013,24.051,"prisoner, police, hitman, cop, revenge, driver",/aAY2Qu1CqJAg38ITuQom83lAcdm.jpg,
Percy Jackson: Sea of Monsters,"Drama, Horror, Mystery","As the deceased soul Ja-hong and his three afterlife guardians prepare for their remaining trials for reincarnation, the guardians soon come face to face with the truth of their tragic time on Earth 1,000 years earlier.",6.276,28-10-2021,24.05,"sports, magic, competition, fairy tale, olympic games, fairy, sport competition, duringcreditsstinger",/9fzNf2QcsHVvdx5g5QUOgAWpADw.jpg,https://www.searchlightpictures.com/antlers
A Beautiful Life,"Adventure, Animation, Comedy, Family","Javier is what we have dubbed as a ""husband-in-law."" That is that without taking care of the care of the house and children at all, he knows exactly what needs to be done, and that he continuously collects a sum of sentences from the type: ""It is that you do not organize"", or ""do not get nervous"", you already consider that overflowing woman drowns in a glass of water. Javier will have to face the reality of dealing with five children (between four and twelve years old) when his wife decides to go on a trip and leave him alone with them. The chaotic situation that takes place at home will progressively evolve ecologically to the most absolute disaster, but at the same time it will give parents and children the opportunity to meet and enjoy themselves for the first time.",6.004,09-11-2006,24.05,"new york city, taxi, based on novel or book, paraplegic, psychopath, detective, investigation, serial killer, crime scene, rookie cop",/tMkLwH4mM6v751wG67iSSRtYxm7.jpg,
Along with the Gods: The Last 49 Days,"Science Fiction, Thriller, Drama","An ordinary man makes an extraordinary discovery when a train accident leaves his fellow passengers dead — and him unscathed. The answer to this mystery could lie with the mysterious Elijah Price, a man who suffers from a disease that renders his bones as fragile as glass.",6.039,25-10-2018,24.022,"wolf, investigation, suspicion, little red riding hood, burglary, grandmother",/daNHz1e67CWyNeXd5AHWVpCJSNm.jpg,https://replicasmovie.com
