title,genres,overview,vote_average,release_date,popularity,keywords,poster_path,homepage
Think Like a Man Too,"Comedy, Romance","All the couples are back for a wedding in Las Vegas, but plans for a romantic weekend go awry when their various misadventures get them into some compromising situations that threaten to derail the big event.",6.425,2014-06-20,17.035,,/bsKfhf0y9Zx7h4j5GHu1JANpKwl.jpg,http://www.sonypictures.com/movies/thinklikeamantoo/
Justice League vs. Teen Titans,"Science Fiction, Action, Animation, Adventure, Comedy",Robin is sent by Batman to work with the Teen Titans after his volatile behavior botches up a Justice League mission. The Titans must then step up to face Trigon after he possesses the League and threatens to conquer the world.,7.289,2016-03-26,17.033,"superhero, cartoon, based on comic, super power, superhero team, teen superhero, dc animated movie universe",/ctHGhbe19xIX6wlECsFydHiha4W.jpg,
Barbie: The Pearl Princess,"Family, Animation","Barbie plays Lumina, a mermaid girl with the power to change the color of pearls. Cheerful and creative, Lumina finds herself working in a mermaid salon customizing fabulous hairstyles. And when Lumina has the chance to attend the royal ball, her friends adorn her with a gown fit for a princess. At the ball, villains try to seize power over the kingdom, and Lumina finds within herself an unexpected power that proves she is much more than a hair stylist.",6.93,2014-02-15,17.032,"mermaid, based on toy",/zA4csIbIKzPOd6DwN5rKxHkVCu6.jpg,
The Stepmother 3,"Thriller, Drama",Elizabeth Carter will again stop at nothing to find her perfect family.,10.0,2023-06-08,17.028,"stepmother, murder, family, psychotic, psycho, revenge thriller, crazy, crazy lady",/rswRDWb32cwDP7KIi4WQQ4uXwLJ.jpg,https://tubitv.com/movies/100004841/the-stepmother-3
Faraway,"Romance, Comedy","After inheriting a house on a Croatian island, a woman embarks on a spur-of-the-moment trip that reignites her joy in life and opens a door to new love.",6.705,2023-03-08,17.027,,/v4czyy4HQuOMQtGCCB9N6JcvJwT.jpg,https://www.netflix.com/title/81286006/
The Life of David Gale,"Drama, Thriller, Crime",A man against capital punishment is accused of murdering a fellow activist and is sent to death row.,7.417,2003-02-21,17.026,"prison, journalist, death penalty, professor, texas, death row, interview, murder, reporter, intern, innocent, activist",/7tcAvE82JyxIi79cwQV5br90KVz.jpg,http://alanparker.com/film/the-life-of-david-gayle/
Commitment,"Drama, Action, Thriller","The son of a North Korean spy decides to follow in his father's footsteps to protect his little sister. After his father's botched espionage mission, North Korean Myung-hoon and his young sister Hye-in are sent to a labor prison camp. In order to save his sister's life, Myung-hoon volunteers to become a spy and infiltrates the South as a teenage defector. While attending high school in the South, he meets another girl named Hye-in, and rescues her when she comes under attack.",7.283,2013-11-05,17.025,"high school, assassin, secret mission, spy, secret agent, bullying, murder, motorcycle, government assassin, inter-korean relations",/ybM400b3vesnoNzOlTlAmHeEYPq.jpg,
V/H/S/2,"Horror, Thriller","Inside a darkened house looms a column of TVs littered with VHS tapes, a pagan shrine to forgotten analog gods. The screens crackle and pop endlessly with monochrome vistas of static white noise permeating the brain and fogging concentration. But you must fight the urge to relax: this is no mere movie night. Those obsolete spools contain more than just magnetic tape. They are imprinted with the very soul of evil.",6.221,2013-06-06,17.025,"gore, vhs, zombie, alien abduction, found footage, videotape",/o4hcWsHaHaNQ9BBReOxLvYJNRhA.jpg,
North Country,Drama,"A fictionalized account of the first major successful sexual harassment case in the United States -- Jenson vs. Eveleth Mines, where a woman who endured a range of abuse while working as a miner filed and won the landmark 1984 lawsuit.",7.223,2005-02-12,17.023,"rape, court, minnesota, harassment, witness, based on true story, lawsuit, miner, insult, love, sexual harassment, battle, single mother, woman director, landmark, 1980s",/upxUN4zmX79o49mBW9htKZDeNq7.jpg,http://northcountrymovie.warnerbros.com/
The Secret of the Magic Gourd,"Drama, Family, Fantasy","When schoolboy  Wang Bao discovers a magical gourd that can instantly grant his every wish, the awkward child suddenly becomes a hero amongst his curious classmates. When the gourd proves more of a burden than a blessing and the boy decides to get rid of it, he quickly discovers that's easier said than done.",7.401,2007-06-29,17.023,,/uwJilsNFXDpdI6UNd2IJgL3R2GN.jpg,http://movies.disney.com/the-secret-of-the-magic-gourd
Rust Creek,"Thriller, Drama, Action, Crime","When an overachieving college senior makes a wrong turn, her road trip becomes a life-changing fight for survival in rural Kentucky.",6.381,2019-01-04,17.019,"sheriff, kentucky, woods, survival, murder, meth lab, woman director",/lrsPIRkKZWTKbd3C0sSj7a3lMES.jpg,http://www.rustcreek.com
The Kitchen,"Action, Crime, Drama","The mobster husbands of three 1978 Hell's Kitchen housewives are sent to prison by the FBI. Left with little but a sharp ax to grind, the ladies take the Irish mafia's matters into their own hands — proving unexpectedly adept at everything from running the rackets to taking out the competition… literally.",6.155,2019-08-08,17.015,"new york city, 1970s, based on comic, irish mob, woman director",/l3smhHvnczXg8E2WzysRVKIXSYJ.jpg,https://www.warnerbros.com/movies/kitchen
The Merciless,"Action, Crime, Mystery","Jae-ho, who aims to become the number one in a crime organization, gets to build up trust with Hyun-su, an ambitious newbie in the prison. While they try to take over the organization after the prison release, their ulterior motives starts to emerge.",7.124,2017-05-17,17.014,"prison, undercover, undercover cop, gang, bromance, neo-noir, prison release",/dMNGy8kfySmmNDHw3X4puqPIbx8.jpg,
Dead Presidents,"Action, Crime",On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,6.663,1995-10-06,17.014,"vietnam, drug abuse, post-traumatic stress disorder (ptsd), war veteran, redemption, loss of virginity, heist, money, revolutinoary, mercy killing, armored truck, bronx, new york city, medic, 1960s",/wRLepMZoUCwjLFb1WSbuUT6uVWR.jpg,
Lady and the Tramp,"Family, Romance, Comedy","The love story between a pampered Cocker Spaniel named Lady and a streetwise mongrel named Tramp. Lady finds herself out on the street after her owners have a baby and is saved from a pack by Tramp, who tries to show her to live her life footloose and collar-free.",7.239,2019-11-12,17.011,"freedom, family, streetwise, live action and animation, live action remake",/8wBEye516IKul9sW7JKGcFXVGfV.jpg,https://disneyplusoriginals.disney.com/movie/lady-and-the-tramp
Superman vs. The Elite,"Science Fiction, Animation, Action",The Man of Steel finds himself outshone by a new team of ruthless superheroes who hold his idealism in contempt.,6.928,2012-06-12,17.009,"england, superhero, cartoon, superhuman, super power, superhero team, the elite",/kozJARWRoGHlOu6UVCdVPD4n8Jm.jpg,
A Single Man,"Drama, Romance","The life of George Falconer, a British college professor, is reeling with the recent and sudden loss of his longtime partner. This traumatic event makes George challenge his own will to live as he seeks the console of his close girl friend Charley, who is struggling with her own questions about life.",7.289,2009-10-19,17.004,"based on novel or book, suicidal, death of lover, teacher student relationship, grieving, 1960s, lgbt interest",/vhoM2LmcPlzcgBIztqqsSAYwaF7.jpg,
The Flowers of War,"Drama, History, War","A Westerner finds refuge with a group of women in a church during Japan's rape of Nanking in 1937. Posing as a priest, he attempts to lead the women to safety.",7.482,2011-12-15,17.004,"rape, based on novel or book, brothel, based on true story, atrocity, prostitution, forced prostitution, nanking massacre china 1937, japanese occupation of china",/pYltmnA1VDWl45EcVQoJYPsTpLW.jpg,http://www.theflowersofwarmovie.com/
Room,"Drama, Thriller","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",8.033,2015-10-16,17.002,"based on novel or book, escape, isolation, carpet, kidnapping, imprisonment, grandparents, hospital, dog, captive, children's perspectives, skylight, mother son relationship",/dIxoYFcj6EqD5KScuU8lWCftnvH.jpg,https://a24films.com/films/room
"Batman: The Long Halloween, Part Two","Animation, Mystery, Action, Crime","As Gotham City's young vigilante, the Batman, struggles to pursue a brutal serial killer, district attorney Harvey Dent gets caught in a feud involving the criminal family of the Falcones.",7.459,2021-07-26,17.002,"holiday, superhero, aftercreditsstinger, dcamu (tomorrowverse)",/f46QMSo2wAVY1ywrNc9yZv0rkNy.jpg,https://www.warnerbros.com/movies/batman-long-halloween-part-2
Mommy,Drama,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.",8.251,2014-09-19,16.999,"canada, parent child relationship, karaoke, quebec, dysfunctional family, coming of age, single mother, juvenile delinquent, mental illness, dream sequence, institutionalization, oedipus complex, behavioral disorders, mother son relationship",/u5jbTMqze9U2nEhfFJmtDXxc89m.jpg,http://mommythemovie.com/
Dhoom 3,"Action, Adventure, Crime, Thriller","To avenge his father's death, a circus entertainer trained in magic and acrobatics turns thief to take down a corrupt bank in Chicago. Two cops from Mumbai are assigned to the case.",6.0,2013-12-19,16.996,"circus, bank robber, sequel, heist, bank heist, motorcycle chase",/rUVTM5EQUQ2I0fcfE46AkvBYWae.jpg,
The Railway Man,"Drama, History","A victim from World War II's ""Death Railway"" sets out to find those responsible for his torture. A true story.",6.86,2013-12-02,16.992,"post-traumatic stress disorder (ptsd), world war ii, victim, redemption, based on true story, autobiography, revenge, torture",/yuADLCxGCA5rFWk2QDXvX5plBrD.jpg,
Vivarium,"Science Fiction, Thriller, Mystery, Horror","A young woman and her fiancé are in search of the perfect starter home. After following a mysterious real estate agent to a new housing development, the couple finds themselves trapped in a maze of identical houses and forced to raise an otherworldly child.",6.08,2019-09-07,16.99,"baby, suburbia, suburb, trapped, body bag, real estate agent, backrooms",/myf3qzpeN0JbuFRPwSpJcz7rmAT.jpg,https://www.vertigoreleasing.com/portfolio/vivarium/
Detective Conan: Jolly Roger in the Deep Azure,"Animation, Adventure","The Isle of Koumi, a beautiful island in the Pacific Ocean. On the island, people pass an old legend down from generation to generation that there was the Seabed Palace, an ancient ruin at the bottom of the sea, where the treasure of 2 female pirates, Anne Bonnie & Mary Reed (who really existed 300 years ago), was left. When Conan and his friends visit Koumi Island while on vacation, they meet some treasure hunters. There was something suspicious about them.",6.618,2007-04-21,16.989,,/3qiBRbIsfpw6O32TfD1FZ81MiKw.jpg,https://www.tms-e.co.jp/global/alltitles/conan/087311.html
Sword Art Online: The Movie – Ordinal Scale,"Animation, Action, Adventure, Fantasy, Romance, Science Fiction","In 2026, four years after the infamous Sword Art Online incident, a revolutionary new form of technology has emerged: the Augma, a device that utilizes an Augmented Reality system. Unlike the Virtual Reality of the NerveGear and the Amusphere, it is perfectly safe and allows players to use it while they are conscious, creating an instant hit on the market. The most popular application for the Augma is the game Ordinal Scale, which immerses players in a fantasy role-playing game with player rankings and rewards.  Following the new craze, Kirito's friends dive into the game, and despite his reservations about the system, Kirito eventually joins them. While at first it appears to be just fun and games, they soon find out that the game is not all that it seems...",7.8,2017-02-18,16.984,"virtual reality, sword, sword fight, based on manga, anime, mmorpg",/2szdEK0Mr0RG0nWGFVTseNQHbnP.jpg,http://sao-movie.net/us/
Sorry If I Call You Love,"Romance, Drama","A successful, attractive, intelligent and brilliant advertising executive is longing to finally find emotional stability in his life, and decides to propose to his girlfriend. After she refuses his proposal, his life takes a turn when a new young lady enters his life.",7.457,2014-06-20,16.984,"age difference, girlfriend, man woman relationship, love, relationship, boyfriend",/7RQdmFiEhb8zn5jmsLqdNnmepUE.jpg,
Best in Show,Comedy,"The tension is palpable, the excitement is mounting and the heady scent of competition is in the air as hundreds of eager contestants from across America prepare to take part in what is undoubtedly one of the greatest events of their lives -- the Mayflower Dog Show. The canine contestants and their owners are as wondrously diverse as the great country that has bred them.",6.913,2000-09-29,16.977,"philadelphia, pennsylvania, pet shop, illinois, poodle, mockumentary, dog, terrier, kimono, dog show, pets",/kVNaXzoX64YwLC99o4gXyKPnplS.jpg,https://www.warnerbros.com/movies/best-show
Sweet & Sour,"Drama, Romance, Comedy","Faced with real-world opportunities and challenges, a couple endures the highs and lows of trying to make a long-distance relationship survive.",7.834,2021-06-04,16.975,"based on novel or book, love triangle, cheating, workaholic, love at first sight, workplace, office romance, long distance relationship",/3yGwAPl6LWpi8QwHjwCMaqsPgNB.jpg,https://www.netflix.com/title/81413901
Free Willy 3: The Rescue,"Family, Adventure","Willy the whale is back, this time threatened by illegal whalers making money off sushi. Jesse, now 16, has taken a job on an orca-researching ship, along with old friend Randolph and a sarcastic scientist, Drew. On the whaler's ship is captain John Wesley and his son, Max, who isn't really pleased about his father's job, but doesn't have the gut to say so. Along the way, Willy reunites with Jesse",6.2,1997-08-06,16.966,"ship, whale, friends, killer whale, whaler",/7HlfEpCaZ93o9XFbBKbSDERIijY.jpg,
I Care a Lot,"Comedy, Crime, Thriller, Drama",A court-appointed legal guardian defrauds her older clients and traps them under her care. But her latest mark comes with some unexpected baggage.,6.632,2021-02-19,16.959,"psychopath, dark comedy, sociopath, guardian, ceo, social services, scam artist, female psychopath, late stage capitalism, social criticism, scammer, socialized psychopath",/gKnhEsjNefpKnUdAkn7INzIFLSu.jpg,https://www.netflix.com/title/81350429
Digimon Adventure: Last Evolution Kizuna,"Animation, Action, Adventure, Fantasy","Tai is now a university student, living alone, working hard at school, and working every day, but with his future still undecided. Meanwhile, Matt and others continue to work on Digimon incidents and activities that help people with their partner Digimon. When an unprecedented phenomenon occurs, the DigiDestined discover that when they grow up, their relationship with their partner Digimon will come closer to an end.  As a countdown timer activates on the Digivice, they realize that the more they fight with their partner Digimon, the faster their bond breaks. Will they fight for others and lose their partner? The time to choose and decide is approaching fast. There is a short time before “chosen children” will become adults. This is the last adventure of Tai and Agumon.",8.092,2020-02-21,16.95,"monster, sequel, digital, anime, based on anime, proxy battle, digimon",/z3l5iwWQLxcInVnNkC8k8hxqZ60.jpg,
The Awakening,"Horror, Thriller, Mystery","In post–War England, a writer and sometime-ghost hunter investigates a reported haunting at a boys boarding school.",6.37,2011-08-17,16.941,"suicide, england, classroom, investigation, supernatural, haunting, teacher, murder, author, fear, estate, con, discovery, ghost, governess",/9SJHeGRlpwkJknUMo7DPg7frrnH.jpg,
Olaf's Frozen Adventure,"Animation, Family, Adventure, Comedy, Fantasy","Olaf is on a mission to harness the best holiday traditions for Anna, Elsa, and Kristoff.",6.443,2017-10-27,16.941,"holiday, cartoon, snowman, christmas, short film, featurette",/As8WTtxXs9e3cBit3ztTf7zoRmm.jpg,
The Land Before Time V: The Mysterious Island,"Animation, Family, Adventure",Littlefoot and his friends the gang in their next when a swarm of leaf gobblers had destroyed their homes and this forces them to find a new home but yet find an mysterious island.,6.162,1997-09-12,16.938,dinosaur,/nlsJfYQ3dwzvr6kwG60P0nh59Sa.jpg,
The Nutcracker and the Four Realms,"Fantasy, Adventure, Family","When Clara’s mother leaves her a mysterious gift, she embarks on a journey to four secret realms—where she discovers her greatest strength could change the world.",6.079,2018-10-26,16.937,"princess, magic, fairy tale, betrayal, magical object, based on short story, christmas",/9vPDY8e7YxLwgVum7YZIUJbr4qc.jpg,https://movies.disney.com/the-nutcracker-and-the-four-realms
From Hell,"Horror, Mystery, Thriller",Frederick Abberline is an opium-huffing inspector from Scotland Yard who falls for one of Jack the Ripper's prostitute targets in this Hughes brothers adaption of a graphic novel that posits the Ripper's true identity.,6.682,2001-02-08,16.933,"london, england, loss of loved one, drug addiction, jack the ripper, based on comic, united kingdom",/t2WpWM8nBO4sULXr2bDfNEt4qgr.jpg,
Van Helsing: The London Assignment,"Action, Animation, Fantasy, Horror","It tells of the events before the film, in which monster hunter Gabriel Van Helsing travels to London to investigate a series of horrific, and decidedly supernatural murders, being committed by the mad scientist Dr. Jekyll, in the form of his evil alter-ego, Mr. Hyde.",6.265,2004-05-11,16.927,"london, england, mision, van helsing",/2MFdzeCL2YTqbbBgiZT8e51MUGO.jpg,
Richard Jewell,"Drama, Crime","Richard Jewell thinks quick, works fast, and saves hundreds, perhaps thousands, of lives after a domestic terrorist plants several pipe bombs and they explode during a concert, only to be falsely suspected of the crime by sloppy FBI work and sensational media coverage.",7.43,2019-12-13,16.924,"biography, standard police procedure, cautionary tale",/5Lgkm8jt4roAFPZQ52fKMhVmDaZ.jpg,http://www.richardjewellmovie.net
Why Him?,Comedy,A dad forms a bitter rivalry with his daughter's young rich boyfriend.,6.376,2016-12-22,16.914,"daughter, rivalry, parent-in-law child-in-law relationship",/eezFoKz7bXgdbjeieeCYJFXPKSu.jpg,
Crisis,"Thriller, Crime, Drama","Three stories about the world of opioids collide: a drug trafficker arranges a multi-cartel Fentanyl smuggling operation between Canada and the U.S., an architect recovering from an OxyContin addiction tracks down the truth behind her son's involvement with narcotics, and a university professor battles unexpected revelations about his research employer, a drug company with deep government influence bringing a new ""non-addictive"" painkiller to market.",6.329,2021-02-26,16.911,"drug smuggling, drug addiction, undercover operation, revenge murderer, opioid crisis, whistle blower, recovering drug addict, drug company, medical research laboratory, confidentiality agreement",/15e2VcMTtk3pqgGlHWxisvygFAw.jpg,
Courage Under Fire,"Drama, Thriller, Mystery, War","A US Army officer, who made a ""friendly fire"" mistake that was covered up, has been reassigned to a desk job. He is tasked to investigate a female chopper commander's worthiness to be awarded the Medal of Honor. At first all seems in order. But then he begins to notice inconsistencies between the testimonies of the witnesses...",6.452,1996-07-04,16.909,"gulf war, war veteran, politics, praise, pilot, rescue mission, dead soldier, tank, us army, medal, battlefield, behind enemy lines, military, army life",/vDJurMJkrx049AiXa3DJx5Zx7a4.jpg,
Gridiron Gang,"Crime, Drama","Teenagers at a juvenile detention center, under the leadership of their counselor, gain self-esteem by playing football together.",7.02,2006-09-15,16.908,"prisoner, sports, competition, probation assistant , american football, based on true story, los angeles, california, mother son relationship, juvenile delinquency",/uwAlznw4yrBHbT3fPfTbSRy9UfG.jpg,
One Eight Seven,"Drama, Thriller","After surviving a stabbing by a student, teacher Trevor Garfield moves from New York to Los Angeles. There, he resumes teaching as a substitute teacher. The education system, where violent bullies control the classrooms and the administration is afraid of lawsuits, slowly drives Garfield mad.",6.628,1997-07-29,16.905,"high school, new york city, teacher, attack, stabbing",/rPmmyspi1MZBItSvfx40qwep8ow.jpg,
"I, Tonya","Drama, Comedy","Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the sport is thrown into doubt when her ex-husband intervenes.",7.501,2017-12-08,16.904,"sports, competition, olympic games, portland, oregon, biography, based on true story, rivalry, figure skating, domestic violence, poverty, overbearing mother, ice skating, taunting, 1990s, winter sport, abusive mother, emotional abuse, mother daughter relationship",/6gNXwSHxaksR1PjVZRqNapmkgj3.jpg,https://www.itonyamovie.com
Upside Down,"Romance, Science Fiction, Drama, Fantasy","In an alternate universe where twinned worlds have opposite gravities, a young man battles interplanetary prejudice and the laws of physics in his quest to reunite with the long-lost girl of his dreams in this visually stunning romantic adventure that poses the question: what if love was stronger than gravity?",6.264,2012-09-27,16.901,"amnesia, upper class, exploitation, forbidden love, planet, class differences, alternate reality, gravity, cosmetics, slum dweller",/9hKKjXqrTW73Ob4wPJooNuhVpBg.jpg,
Assassins,"Action, Adventure, Crime, Thriller","Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",6.48,1995-10-06,16.9,"rescue, cia, hitman, cat, bank, mexican standoff, seattle, washington, mission of murder, hidden camera, rivalry, shootout, police chase, sniper rifle, detroit, michigan, silencer, double cross, caribbean sea",/kgqS4jn60E8UIExfceMUExB3ZKK.jpg,
Booksmart,Comedy,"Two academic teenage superstars realize, on the eve of their high school graduation, that they should have worked less and played more. Determined to never fall short of their peers, the girls set out on a mission to cram four years of fun into one night.",7.05,2019-05-24,16.898,"high school, coming of age, house party, buddy, high school student, lgbt, woman director, generation z, teenager",/micaVOa1UZsdzs4fKGA67ZMGOzc.jpg,https://annapurna.pictures/film/booksmart/
13 Minutes,"Action, Drama, Thriller","As a new day begins in the small American town of Minninnewah, the residents start their day as ordinary as the next. Mother Nature, however, has other plans for them. Inhabitants have just 13 minutes to seek shelter before the largest tornado on record ravages the town, leaving them struggling to protect their loved ones and fighting for their lives. Left to deal with the aftermath, four families must overcome their differences and find strength in each other in order to survive.",6.01,2021-10-29,16.896,"rescue, pregnancy, tornado, natural disaster, destruction, lgbt, bad weather, gay theme",/47RDMc8FeN1GxGMEmsVCCjXqzdE.jpg,
Bastille Day,Action,"Michael Mason is an American pickpocket living in Paris who finds himself hunted by the CIA when he steals a bag that contains more than just a wallet. Sean Briar, the field agent on the case, soon realises that Michael is just a pawn in a much bigger game and is also his best asset to uncover a large-scale conspiracy.",6.3,2016-04-22,16.896,"cia, france, bomb, bank, intelligence agency, terrorism, counter intelligence, french police",/lTby7l0zX7xG8Pt0eNrWBrNzdqX.jpg,http://www.bastilledayfilm.co.uk
The Heist of the Century,"Comedy, Thriller, Crime","In 2006, a group of thieves performed what is considered one of the most famous and smart bank heists in the history of Argentina. How they robbed the Rio bank is as surprising as what happened afterwards. This is their story.",7.799,2020-01-16,16.894,"heist, bank robbery, bank heist",/1zL4VCVin4S8kOXhszMDqfwWPCM.jpg,
Kuroko's Basketball the Movie: Last Game,Animation,"Shortly after the Inter-High of Kagami and Kuroko's second-year, a street basketball team from the USA called Team Jabberwock came to Japan to play a friendly match against a Japanese college-level street basketball team, Team Strky. Despite their best efforts, Strky is brutally crushed by Jabberwock. After the match, the Jabberwock players insult the players from Strky and all of Japanese basketball, claiming Strky's basketball was at the same level as monkeys and telling the players and crowds to quit playing basketball and kill themselves.  As a revenge match, Kagetora assembles a dream team of all members of Generation of Miracles plus Kuroko Tetsuya and Kagami Taiga, along with bench players Hyūga Junpei, Takao Kazunari, and Wakamatsu Kōsuke, forming Team Vorpal Swords, with the hopes of reclaiming the pride of Japanese basketball.",7.743,2017-03-18,16.891,"sports, basketball, anime",/c4qDRYVcqMKl6fdiCwfb3icHrUM.jpg,http://kurobas-lg.com/
Tom and Jerry & The Wizard of Oz,"Family, Animation, Comedy, Fantasy","After a deadly storm, Tom and Jerry find themselves stranded on an unknown island ruled by the evil Wizard of Oz. As they try to find their way back home, they worry for their master Dorothy's safety.",6.0,2011-08-23,16.89,based on young adult novel,/gFlwbp47uh6F1p203RQOaxYThzX.jpg,http://familyentertainment.kidswb.com/product/tom-and-jerry-the-wizard-of-oz
"Definitely, Maybe","Comedy, Romance","When Will decides to tell his daughter the story of how he met her mother, he discovers that a second look at the past might also give him a second chance at the future.",6.906,2008-02-08,16.889,"daughter, lovesickness, love of one's life, parent child relationship, narration, kiss, lovers, make a match, sex education, affection, romance, relationship, divorce, past relationship",/2b70ZgWRhEibCHppQkb9tTxahGr.jpg,http://www.definitelymaybemovie.com/
50/50,"Comedy, Drama","Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",7.2,2011-09-30,16.877,"friendship, parent child relationship, therapist, painter, cancer, psychologist, hospital, best friend, doctor, patient, doctor patient relationship, vomiting, chemotherapy",/8f9tM9JVB4ETBhxlQcXIjLckArl.jpg,http://www.50-50themovie.com/
The House of Magic,"Family, Fantasy, Animation, Adventure","Thunder, an abandoned young cat seeking shelter from a storm, stumbles into the strangest house imaginable, owned by an old magician and inhabited by a dazzling array of automatons and gizmos. Not everyone welcomes the new addition to the troupe as Jack Rabbit and Maggie Mouse plot to evict Thunder. The situation gets worse when the magician lands in hospital and his scheming nephew sees his chance to cash in by selling the mansion. Our young hero is determined to earn his place and so he enlists the help of some wacky magician's assistants to protect his magical new home.",6.358,2013-12-24,16.875,"magic, magician, greedy relative",/3R13g2XgblynIrQGF8geFZJPNvR.jpg,
Oppenheimer: The Real Story,Documentary,"J. Robert Oppenheimer, a physics professor known for creating the atomic bomb during WWII. He witnessed the first atomic bomb detonation in New Mexico in 1945. This film examines Oppenheimer's life, from his early years to his involvement with nuclear physics and his later advocacy for nuclear weapons controls, with interviews and insights from those who knew him and impacted by his legacy.",7.6,2023-07-17,16.874,,/ecYTEmn3JBZyWbqwzjmBFfGvi3U.jpg,
Unlocked,"Thriller, Mystery",A woman's life is turned upside-down when a dangerous man gets a hold of her lost cell phone and uses it to track her every move.,7.481,2023-02-17,16.87,"based on novel or book, stalker, remake, serial killer, hacking, cell phone, phone, smart phone, father daughter relationship, lost",/s9DOGlKfXWlnxAdOJHQzP3aRqt0.jpg,https://www.netflix.com/title/81640988
American Outlaws,"Western, Action","When a Midwest town learns that a corrupt railroad baron has captured the deeds to their homesteads without their knowledge, a group of young ranchers join forces to take back what is rightfully theirs. They will become the object of the biggest manhunt in the history of the Old West and, as their fame grows, so will the legend of their leader, a young outlaw by the name of Jesse James.",6.066,2001-08-17,16.868,"sheriff, horse, outlaw, jesse james, cole younger",/bfHkHstHIBpDAokujviWZw3mL8M.jpg,
Master Z: Ip Man Legacy,"Action, Crime, Drama","Following his defeat by Master Ip, Cheung Tin Chi tries to make a life with his young son in Hong Kong, waiting tables at a bar that caters to expats. But it's not long before the mix of foreigners, money, and triad leaders draw him once again to the fight.",6.407,2018-12-20,16.853,martial arts,/6VxEvOF7QDovsG6ro9OVyjH07LF.jpg,
Magic Mike XXL,"Comedy, Drama","Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.",6.16,2015-07-01,16.848,"dancing, male friendship, road trip, strip club, gay interest, strip tease, strip",/ny9qi5SYefhSov0ZycCwFFX5fi3.jpg,
Nick and Norah's Infinite Playlist,"Comedy, Music, Drama","Nick cannot stop obsessing over his ex-girlfriend, Tris, until Tris' friend Norah suddenly shows interest in him at a club. Thus begins an odd night filled with ups and downs as the two keep running into Tris and her new boyfriend while searching for Norah's drunken friend, Caroline, with help from Nick's band mates. As the night winds down, the two have to figure out what they want from each other.",6.459,2008-10-03,16.835,"concert, new jersey, based on novel or book, one night, secret location, based on young adult novel",/cndxWgZEHnSUtytrMjal97ye34E.jpg,
The Mule,"Crime, Drama","Earl Stone, a man in his eighties, is broke, alone, and facing foreclosure of his business when he is offered a job that simply requires him to drive. Easy enough, but, unbeknownst to Earl, he's just signed on as a drug courier for a Mexican cartel. He does so well that his cargo increases exponentially, and Earl hit the radar of hard-charging DEA agent Colin Bates.",6.829,2018-12-14,16.833,"mexico, drug crime, drug mule, based on true story, drug cartel, dea agent, korean war veteran, based on magazine, newspaper or article, 2000s, sinaloa",/vkOfx5meJvFb4qmAJU7j6v8IIpZ.jpg,http://www.themulefilm.com
The Fall,"Adventure, Fantasy, Drama","In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story about 5 mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality starts to blur as the tale advances.",7.583,2006-09-09,16.832,"suicide attempt, remake, morphine, hospital, storytelling, 1920s, hopeful",/jUx4P4Q1VsQ07rLz7sOlSyNm4F3.jpg,http://www.thefallthemovie.com/
Pokémon: Lucario and the Mystery of Mew,"Family, Adventure, Animation, Fantasy, Action, Science Fiction","In the legendary past, before Poké Balls were invented, an aura-guiding hero Pokémon named Lucario sensed two groups of armies about to clash, and a threat of a massive war in front of Oldoran Castle in Kanto that would leave no survivors. He transferred this message to his master, the legendary hero Arlon, while he was being attacked by a violent group of Hellgar. During the battle, his sense of sight was lost and he was rendered unable to see. He used the detection of his Aura, and so with the offensive Wave Bomb, he eliminated them. Though by the threat, the queen of Rota, Lady Rin was resolute to die with her civilians, and so Arlon made a choice.",6.976,2005-07-16,16.831,"pocket monsters, celebration, based on video game, anime",/612lsEOZvsn3ELh07OGGGKCeEVj.jpg,https://www.pokemon.com/us/pokemon-episodes/pokemon-movies/pokemon-lucario-and-the-mystery-of-mew-2006
Rogue,"Action, Horror, Thriller","From the director of Wolf Creek comes this terrifying look at nature's perfect killing machine. When a group of tourists stumble into the remote Australian river territory of an enormous crocodile, the deadly creature traps them on a tiny mud island with the tide quickly rising and darkness descending. As the hungry predator closes in, they must fight for survival against all odds.",6.397,2007-11-08,16.83,"crocodile, tourist, animal attack, based on true story, wildlife, travel, creature, survival horror, outback, crocodile attack, man against nature, animal horror",/x3pVvUeOgw0IPPyf0QoI8dUTcXq.jpg,
