title,genres,overview,vote_average,release_date,popularity,keywords,poster_path,homepage
Tomb Raider,"Action, Adventure, Fantasy","Lara Croft, the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she finds herself on the island where her father disappeared.",6.353,2018-03-05,27.983,"island, treasure hunt, remake, female protagonist, heiress, based on video game, bicycle courier, missing person, reboot, peril, slave labor, father daughter relationship",/ePyN2nX9t8SOl70eRW47Q29zUFO.jpg,http://www.tombraidermovie.com/
Red Cliff,"Adventure, Drama, History, Action, War","In 208 A.D., in the final days of the Han Dynasty, shrewd Prime Minster Cao convinced the fickle Emperor Han the only way to unite all of China was to declare war on the kingdoms of Xu in the west and East Wu in the south. Thus began a military campaign of unprecedented scale. Left with no other hope for survival, the kingdoms of Xu and East Wu formed an unlikely alliance.",7.15,2008-07-10,27.962,"martial arts, china, flaming arrow, strategy, carrier pigeon, wall of fire, white dove, casualty of war, chinese painting, broken arrow, 3rd century",/eEelFTjUYJJDlwqd53VfSA8xMfj.jpg,http://www.redclifffilm.com
Brazzers House 2,Drama,"Welcome back to Brazzers House! Miami gets even hotter as Brazzers' best porn stars arrive one by one an feel up their competition. The hot and horny housemates of Brazzers House 2 did so much fucking we couldn't fit it all into just three episodes! Also, check out the bonus scene for all the good stuff you didn't see.",9.8,2018-03-06,27.937,,/nGgYNWee8vmVq0EB4BH1GlrpTyO.jpg,
Bird Box,"Horror, Thriller, Drama","Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.",6.854,2018-12-13,27.913,"based on novel or book, post-apocalyptic future, blindfold, doomsday, survival horror, woman director, white water rafting",/rGfGfgL2pEPCfhIvqHXieXFn7gp.jpg,https://www.netflix.com/title/80196789
Abominable,"Family, Animation, Adventure, Comedy","A group of misfits encounter a young Yeti named Everest, and they set off to reunite the magical creature with his family on the mountain of his namesake.",7.509,2019-09-19,27.909,"yeti, family relationships, reunion, snow, aftercreditsstinger, mount everest, quest, zoologist",/20djTLqppfBx5WYA67Y300S6aPD.jpg,https://www.dreamworks.com/movies/abominable
Magic Mike's Last Dance,"Comedy, Drama, Romance","Mike Lane takes to the stage again after a lengthy hiatus, following a business deal that went bust, leaving him broke and taking bartender gigs in Florida. For what he hopes will be one last hurrah, Mike heads to London with a wealthy socialite who lures him with an offer he can’t refuse… and an agenda all her own. With everything on the line, once Mike discovers what she truly has in mind, will he—and the roster of hot new dancers he’ll have to whip into shape—be able to pull it off?",6.8,2023-02-09,27.894,"london, england, sequel, dancehall girl, male stripper, bar dancer, dancefilm, abusive relationship",/9a9pyJZRhUWUSBT8BQqWihtqbI8.jpg,https://www.magicmikeslastdancemovie.com/
A Star Is Born,"Music, Drama, Romance","Seasoned musician Jackson Maine discovers — and falls in love with — struggling artist Ally. She has just about given up on her dream to make it big as a singer — until Jack coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their relationship is breaking down, as Jack fights an ongoing battle with his own internal demons.",7.503,2018-10-03,27.891,"concert, country music, waitress, pop star, self-destruction, talent, addiction, death of father, alcoholism, remake, aspiring singer, singer, fame, tinnitus, falling in love, insecurity, alcoholic, death of mother, aspiration, death of parent, showbiz, emotional vulnerability, hearing impaired, brother brother relationship",/wrFpXMNBRj2PBiN4Z5kix51XaIZ.jpg,http://astarisbornmovie.com
Home on the Range,"Animation, Family","When a greedy outlaw schemes to take possession of the ""Patch Of Heaven"" dairy farm, three determined cows, a karate-kicking stallion and a colorful corral of critters join forces to save their home. The stakes are sky-high as this unlikely animal alliance risk their hides and match wits with a mysterious band of bad guys.",6.026,2004-04-02,27.878,"farm, animal, dairy cow",/9xIIo4FMquy5SRqn8hppyr2QadR.jpg,http://movies.disney.com/home-on-the-range
Padre no hay mas que uno 3,"Comedy, Family","Christmas is coming. The children accidentally break a Nativity scene figurine from their father's collection and must by all means get an equal one, the problem is that it is a unique antique piece. Sara, the eldest daughter breaks up with her boyfriend, Ocho, who will try to recover her favors with the help of her father-in-law, Javier. Precisely Javier's father-in-law, Marisa's father, will be welcomed into the family home to spend the holidays after her recent separation, which will not leave Javier's mother, Milagros, indifferent. Rocío, the folklore of the family, who has been playing the Virgin for several Christmases, is relegated this year to playing the shepherdess, something that her father, Javier, is not willing to assume.",7.5,2022-07-15,27.867,"holiday, christmas party, big family",/k2v9xSPtiyxCNxaRGtj7COwdgG3.jpg,
Event Horizon,"Horror, Science Fiction, Mystery","In 2047, a group of astronauts are sent to investigate and salvage the starship Event Horizon which disappeared mysteriously 7 years before on its maiden voyage. However, it soon becomes evident that something sinister resides in its corridors, and that the horrors that befell the Event Horizon's previous journey are still present.",6.528,1997-08-15,27.847,"space marine, nightmare, insanity, delusion, hallucination, space travel, cryogenics, gore, black hole, crew, flashback, evil spirit, alternate dimension, hellgate, religion, explosion, burning man, rescue team, super power, trapped in space, distress signal, 2040s, spaceship, brutal violence",/6b5Kux470PpQkgBdRqE9WtUpYfE.jpg,
